"No.","Time","Source","Destination","Protocol","Length","Info"
"108","2024-04-12 10:04:54,922791","fe80::212:4b00:1665:2a04","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"109","2024-04-12 10:04:54,923346","","","IEEE 802.15.4","5","Ack"
"110","2024-04-12 10:04:55,077664","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"111","2024-04-12 10:04:55,078257","","","IEEE 802.15.4","5","Ack"
"112","2024-04-12 10:04:57,621508","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"113","2024-04-12 10:04:57,621953","","","IEEE 802.15.4","5","Ack"
"114","2024-04-12 10:04:57,651730","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"115","2024-04-12 10:04:57,652200","","","IEEE 802.15.4","5","Ack"
"116","2024-04-12 10:05:13,181851","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"117","2024-04-12 10:05:13,182967","fe80::212:4b00:1665:2a04","fe80::212:4b00:c46:c300","ICMPv6","102","RPL Control (DODAG Information Object)"
"118","2024-04-12 10:05:13,190561","","","IEEE 802.15.4","5","Ack"
"119","2024-04-12 10:05:13,191049","fe80::212:4b00:1665:2a04","fe80::212:4b00:c46:c300","ICMPv6","102","RPL Control (DODAG Information Object)"
"120","2024-04-12 10:05:13,191463","","","IEEE 802.15.4","5","Ack"
"121","2024-04-12 10:05:13,209882","fe80::212:4b00:1665:2a04","fe80::212:4b00:c46:c300","ICMPv6","102","RPL Control (DODAG Information Object)"
"122","2024-04-12 10:05:13,210561","","","IEEE 802.15.4","5","Ack"
"123","2024-04-12 10:05:13,210890","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"124","2024-04-12 10:05:13,239200","fe80::212:4b00:1665:2a04","fe80::212:4b00:c46:c300","ICMPv6","102","RPL Control (DODAG Information Object)"
"125","2024-04-12 10:05:13,239856","","","IEEE 802.15.4","5","Ack"
"126","2024-04-12 10:05:24,873192","fe80::212:4b00:c46:c300","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"127","2024-04-12 10:05:24,873396","","","IEEE 802.15.4","5","Ack"
"128","2024-04-12 10:05:33,210094","fe80::212:4b00:1204:d199","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"129","2024-04-12 10:05:33,210668","","","IEEE 802.15.4","5","Ack"
"130","2024-04-12 10:05:51,636967","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"131","2024-04-12 10:05:51,653759","fe80::212:4b00:1665:2a04","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"132","2024-04-12 10:05:51,655015","","","IEEE 802.15.4","5","Ack"
"133","2024-04-12 10:05:51,655397","fe80::212:4b00:1665:2a04","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"134","2024-04-12 10:05:51,656083","","","IEEE 802.15.4","5","Ack"
"135","2024-04-12 10:05:51,683888","fe80::212:4b00:1665:2a04","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"136","2024-04-12 10:05:51,684796","","","IEEE 802.15.4","5","Ack"
"137","2024-04-12 10:05:51,685431","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"138","2024-04-12 10:05:51,711251","fe80::212:4b00:1665:2a04","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"139","2024-04-12 10:05:51,711928","","","IEEE 802.15.4","5","Ack"
"140","2024-04-12 10:06:02,775508","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"141","2024-04-12 10:06:02,791659","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"142","2024-04-12 10:06:02,808116","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"143","2024-04-12 10:06:02,808267","","","IEEE 802.15.4","5","Ack"
"144","2024-04-12 10:06:24,336493","fe80::212:4b00:c46:c300","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"145","2024-04-12 10:06:40,783678","fe80::212:4b00:173d:8a03","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"146","2024-04-12 10:06:42,927682","fe80::212:4b00:1665:2a04","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"147","2024-04-12 10:06:42,973102","fe80::212:4b00:1665:2a04","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"148","2024-04-12 10:06:43,017820","fe80::212:4b00:1665:2a04","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"149","2024-04-12 10:06:43,018281","","","IEEE 802.15.4","5","Ack"
"150","2024-04-12 10:06:46,331271","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"151","2024-04-12 10:06:46,331815","","","IEEE 802.15.4","5","Ack"
"152","2024-04-12 10:06:48,925333","fe80::212:4b00:1204:d199","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"153","2024-04-12 10:06:48,925812","","","IEEE 802.15.4","5","Ack"
"154","2024-04-12 10:06:58,190782","fe80::212:4b00:1204:d199","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"155","2024-04-12 10:07:00,814465","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"156","2024-04-12 10:07:00,815031","","","IEEE 802.15.4","5","Ack"
"157","2024-04-12 10:07:00,818274","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"158","2024-04-12 10:07:00,874518","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"159","2024-04-12 10:07:00,880262","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"160","2024-04-12 10:07:00,880914","","","IEEE 802.15.4","5","Ack"
"161","2024-04-12 10:07:18,270615","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"162","2024-04-12 10:07:18,279229","fe80::212:4b00:1665:2a04","fe80::212:4b00:c46:c300","ICMPv6","102","RPL Control (DODAG Information Object)"
"163","2024-04-12 10:07:18,308914","","","IEEE 802.15.4","5","Ack"
"164","2024-04-12 10:07:18,309518","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"165","2024-04-12 10:07:18,314591","fe80::212:4b00:1665:2a04","fe80::212:4b00:c46:c300","ICMPv6","102","RPL Control (DODAG Information Object)"
"166","2024-04-12 10:07:18,333877","","","IEEE 802.15.4","5","Ack"
"167","2024-04-12 10:07:18,334243","fe80::212:4b00:1665:2a04","fe80::212:4b00:c46:c300","ICMPv6","102","RPL Control (DODAG Information Object)"
"168","2024-04-12 10:07:18,335189","","","IEEE 802.15.4","5","Ack"
"169","2024-04-12 10:07:18,362643","fe80::212:4b00:1665:2a04","fe80::212:4b00:c46:c300","ICMPv6","102","RPL Control (DODAG Information Object)"
"170","2024-04-12 10:07:18,363246","","","IEEE 802.15.4","5","Ack"
"171","2024-04-12 10:07:20,250354","fe80::212:4b00:c46:c300","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"172","2024-04-12 10:07:20,250805","","","IEEE 802.15.4","5","Ack"
"173","2024-04-12 10:07:21,299988","fe80::212:4b00:c46:c300","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"174","2024-04-12 10:07:21,300535","","","IEEE 802.15.4","5","Ack"
"175","2024-04-12 10:07:21,840377","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"176","2024-04-12 10:07:21,841120","","","IEEE 802.15.4","5","Ack"
"177","2024-04-12 10:07:21,856610","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"178","2024-04-12 10:07:21,857369","","","IEEE 802.15.4","5","Ack"
"179","2024-04-12 10:07:24,522744","fe80::212:4b00:c46:c300","fe80::212:4b00:1665:2a04","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"180","2024-04-12 10:07:24,522897","","","IEEE 802.15.4","5","Ack"
"181","2024-04-12 10:07:24,598058","fe80::212:4b00:1665:2a04","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"182","2024-04-12 10:07:24,598180","","","IEEE 802.15.4","5","Ack"
"183","2024-04-12 10:07:30,086018","fe80::212:4b00:c46:c300","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"184","2024-04-12 10:07:46,848482","fe80::212:4b00:c46:c300","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"185","2024-04-12 10:07:55,904020","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"186","2024-04-12 10:07:55,904706","","","IEEE 802.15.4","5","Ack"
"187","2024-04-12 10:07:57,732412","fe80::212:4b00:1204:d199","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"188","2024-04-12 10:07:57,743104","fe80::212:4b00:1204:d199","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"189","2024-04-12 10:07:57,807527","fe80::212:4b00:1204:d199","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"190","2024-04-12 10:07:57,815228","fe80::212:4b00:1204:d199","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"191","2024-04-12 10:07:57,853314","fe80::212:4b00:1204:d199","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"192","2024-04-12 10:07:57,859126","fe80::212:4b00:1204:d199","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"193","2024-04-12 10:07:57,893347","fe80::212:4b00:1204:d199","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"194","2024-04-12 10:07:57,898258","fe80::212:4b00:1204:d199","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"195","2024-04-12 10:08:10,097974","fe80::212:4b00:c46:c300","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"196","2024-04-12 10:08:21,222111","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"197","2024-04-12 10:08:21,222704","","","IEEE 802.15.4","5","Ack"
